Tune,Set,Measure,StartBeat,Counts,Drill_Page,Music_Page,Label
Hit_the_Road_Jack,,54,213,4,,,mm 47
Hit_the_Road_Jack,,55,217,4,,,mm 48
Low_Rider,,1,1,4,,,
Low_Rider,,2,5,4,,,
Low_Rider,,3,9,4,,,
Low_Rider,,4,13,4,,,
Low_Rider,,5,17,4,,,
Low_Rider,,6,21,4,,,
Low_Rider,,7,25,4,,,
Low_Rider,,8,29,4,,,
Low_Rider,,9,33,4,,,
Low_Rider,,10,37,4,,,
Low_Rider,,11,41,4,,,
Low_Rider,,12,45,4,,,
Low_Rider,,13,49,4,,,
Low_Rider,,14,53,4,,,
Low_Rider,,15,57,4,,,
Low_Rider,,16,61,4,,,
Low_Rider,,17,65,4,,,
Low_Rider,,18,69,4,,,
Low_Rider,,19,73,4,,,
Low_Rider,,20,77,4,,,
Low_Rider,,21,81,4,,,
Low_Rider,,22,85,4,,,
Low_Rider,,23,89,4,,,
Low_Rider,,24,93,4,,,
Low_Rider,,25,97,4,,,
Low_Rider,,26,101,4,,,
Low_Rider,,27,105,4,,,
Low_Rider,,28,109,4,,,
Low_Rider,,29,113,4,,,
Low_Rider,,30,117,4,,,
Low_Rider,,31,121,4,,,
Low_Rider,,32,125,4,,,
Low_Rider,,33,129,4,,,
Low_Rider,,34,133,4,,,
Low_Rider,,35,137,4,,,
Low_Rider,,36,141,4,,,
Low_Rider,,37,145,4,,,
Low_Rider,,38,149,4,,,
Low_Rider,,39,153,4,,,
Low_Rider,,40,157,4,,,
Low_Rider,,41,161,4,,,
Low_Rider,,42,165,4,,,
Low_Rider,,43,169,4,,,
Low_Rider,,44,173,4,,,
Low_Rider,,45,177,4,,,21 2nd Time
Low_Rider,,46,181,4,,,22 2nd Time
Low_Rider,,47,185,4,,,23 2nd Time
Low_Rider,,48,189,4,,,24 2nd Time
Low_Rider,,49,193,4,,,25 2nd Time
Low_Rider,,50,197,4,,,26 2nd Time
Low_Rider,,51,201,4,,,27 2nd Time
Low_Rider,,52,205,4,,,28 2nd Time
Low_Rider,,53,209,4,,,29 2nd Time
Low_Rider,,54,213,4,,,30 2nd Time
Low_Rider,,55,217,4,,,31 2nd Time
Low_Rider,,56,221,4,,,32 2nd Time
Low_Rider,,57,225,4,,,Coda mm 45
Low_Rider,,58,229,4,,,mm 46
Low_Rider,,59,233,4,,,mm 47
Low_Rider,,60,237,4,,,mm 48
Low_Rider,,61,241,4,,,Measure 49 1X
Low_Rider,,62,245,4,,,50 1X
Low_Rider,,63,249,4,,,51 1X
Low_Rider,,64,253,4,,,mm 52
Low_Rider,,65,257,4,,,Measure 49 2X
Low_Rider,,66,261,4,,,50 2X
Low_Rider,,67,265,4,,,51 2X
Low_Rider,,68,269,4,,,52 2X
Low_Rider,,69,273,4,,,mm 53
Low_Rider,,70,277,4,,,mm 54
Low_Rider,,71,281,4,,,mm 55
Low_Rider,,72,285,3,,,mm 56
Country_Roads,,1,1,4,,,
Country_Roads,,2,5,4,,,
Country_Roads,,3,9,4,,,
Country_Roads,,4,13,2,,,2/4 measure
Country_Roads,,5,15,4,,,
Country_Roads,,6,19,4,,,
Country_Roads,,7,23,4,,,
Country_Roads,,8,27,4,,,
Country_Roads,,9,31,2,,,cut time begins
Country_Roads,,10,33,2,,,
Country_Roads,,11,35,2,,,
Country_Roads,,12,37,2,,,
Country_Roads,,13,39,2,,,
Country_Roads,,14,41,2,,,
Country_Roads,,15,43,2,,,
Country_Roads,,16,45,2,,,
Country_Roads,,17,47,2,,,
Country_Roads,,18,49,2,,,
Country_Roads,,19,51,2,,,
Country_Roads,,20,53,2,,,
Country_Roads,,21,55,2,,,
Country_Roads,,22,57,2,,,
Country_Roads,,23,59,2,,,
Country_Roads,,24,61,2,,,
Country_Roads,,25,63,2,,,
Country_Roads,,26,65,2,,,
Country_Roads,,27,67,2,,,
Country_Roads,,28,69,2,,,
Country_Roads,,29,71,2,,,
Country_Roads,,30,73,2,,,
Country_Roads,,31,75,2,,,
Country_Roads,,32,77,2,,,
Country_Roads,,33,79,2,,,
Country_Roads,,34,81,2,,,
Country_Roads,,35,83,2,,,
Country_Roads,,36,85,2,,,
Country_Roads,,37,87,2,,,
Country_Roads,,38,89,2,,,
Country_Roads,,39,91,2,,,
Country_Roads,,40,93,2,,,
Country_Roads,,41,95,2,,,
Country_Roads,,42,97,2,,,trumpet/singing pickups
Country_Roads,,43,99,2,,,
Country_Roads,,44,101,2,,,
Country_Roads,,45,103,2,,,
Country_Roads,,46,105,2,,,
Country_Roads,,47,107,2,,,
Country_Roads,,48,109,2,,,
Country_Roads,,49,111,2,,,
Country_Roads,,50,113,2,,,
Country_Roads,,51,115,2,,,
Country_Roads,,52,117,2,,,
Country_Roads,,53,119,2,,,
Country_Roads,,54,121,2,,,
Country_Roads,,55,123,2,,,
Country_Roads,,56,125,2,,,
Country_Roads,,57,127,2,,,
Country_Roads,,58,129,2,,,final chorus pickups
Country_Roads,,59,131,2,,,
Country_Roads,,60,133,2,,,
Country_Roads,,61,135,2,,,
Country_Roads,,62,137,2,,,
Country_Roads,,63,139,2,,,
Country_Roads,,64,141,2,,,
Country_Roads,,65,143,2,,,
Country_Roads,,66,145,2,,,
Country_Roads,,67,147,2,,,
Country_Roads,,68,149,2,,,
Country_Roads,,69,151,2,,,
Country_Roads,,70,153,2,,,
Country_Roads,,71,155,2,,,
Country_Roads,,72,157,2,,,
Country_Roads,,73,159,2,,,
Country_Roads,,74,161,2,,,
Country_Roads,,75,163,2,,,
Country_Roads,,76,165,2,,,
Country_Roads,,77,167,2,,,
Country_Roads,,78,169,2,,,
